Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1961","1961","ha","13500","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1962","1962","ha","14000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1963","1963","ha","14500","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1964","1964","ha","15000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1965","1965","ha","15500","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1966","1966","ha","15800","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1967","1967","ha","16900","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1968","1968","ha","17700","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1969","1969","ha","17800","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1970","1970","ha","18800","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1971","1971","ha","19300","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1972","1972","ha","20500","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1973","1973","ha","21200","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1974","1974","ha","22000","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1975","1975","ha","36200","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1976","1976","ha","28000","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1977","1977","ha","25400","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1978","1978","ha","23900","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1979","1979","ha","23500","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1980","1980","ha","25700","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1981","1981","ha","23500","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1982","1982","ha","22100","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","800","Agave fibres nes","1983","1983","ha","21500","","Official data"
