iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
COL,Colombia,1990,8.285,12.567,5.777,2.144,9.417,23.358,-6.482,-17.102,,,,0,0,0,0,,,-54.404,7.531,-22.171,18.582,,561.339,164.25,4961.777,38.246,,,,,27.496,0,,0.274,,27.77,0,0,1.106,7453.331,-10.115,68.735,-19.084,169.589,5123.073,,,,3.773,15.166,1.361,37.42,,1130.397,39.246,1185.573,71.893,2.665,30.956,1.983,76.377,830.615,2307.266,72.609,27.77,838.892,2.638,31.265,1.983,77.139,2330.258,0,,0,0,0,0,0,,1.543,46.038,1.727,113.588,,3431.337,271.392,8198.415,8.277,0.716,0,0.308,0,0.761,22.992,1155.355,33103000,246.728,838.892,72.609,2.638,31.265,1.983,77.139,2330.258,0,,0,0,0,0,0,2.23E+11,0,,0,0,0,0,0
COL,Colombia,1991,-2.135,-3.507,-0.98,-0.385,-3.402,-9.234,3.864,9.533,,,,0,0,0,0,,,25.761,9.119,4.787,23.369,,692.247,160.743,4761.624,40.124,,,,,27.726,0,,0.269,,27.995,0,0,1.149,7591.102,5.252,69.654,8.907,178.496,5287.524,,,,3.108,15.056,1.163,38.583,,1142.915,38.862,1151.18,69.102,0.837,30.054,0.64,77.017,821.319,2281.443,69.772,27.995,829.287,0.811,30.346,0.626,77.764,2303.578,0,,0,0,0,0,0,,2.604,45.479,2.957,116.545,,3452.362,262.158,7765.808,7.968,0.67,-1.825,0.292,-0.014,0.747,22.135,1188.563,33758000,256.26,829.287,69.772,0.811,30.346,0.626,77.764,2303.578,0,,0,0,0,0,0,2.23E+11,0,,0,0,0,0,0
COL,Colombia,1992,9.331,14.998,2.438,0.948,3.059,8.018,4.596,11.777,,,,0,0,0,0,,,67.261,14.583,15.718,39.087,,1135.491,175.741,5105.339,36.613,,,,,22.281,0,,0.34,,22.621,0,0,1.136,7786.565,14.961,76.557,26.706,205.202,5961.186,,,,-1.599,14.164,-0.617,37.966,,1102.919,39.809,1156.466,60.854,-19.64,23.09,-15.126,61.891,647.259,1797.942,61.783,22.621,657.136,-19.198,23.443,-14.929,62.835,1825.379,0,,0,0,0,0,0,,9.957,47.81,11.604,128.149,,3722.776,270.177,7848.72,9.877,0.929,26.394,0.352,0.197,0.944,27.436,1063.623,34423000,268.037,657.136,61.783,-19.198,23.443,-14.929,62.835,1825.379,0,,0,0,0,0,0,2.36E+11,0,,0,0,0,0,0
COL,Colombia,1993,-0.854,-1.501,-2.098,-0.835,3.279,8.859,10.097,27.064,,,,0,0,0,0,,,4.849,13.888,1.895,40.982,,1167.882,174.24,4965.389,41.691,,,,,27.856,0,,0.389,,28.245,0,0,1.176,8409.577,5.575,73.413,11.439,216.641,6173.69,,,,3.822,13.357,1.451,39.417,,1123.273,38.974,1110.649,66.816,25.025,26.221,15.488,77.379,793.833,2205.093,67.749,28.245,804.918,24.866,26.587,15.624,78.459,2235.886,0,,0,0,0,0,0,,6.315,46.168,8.093,136.242,,3882.535,279.035,7951.766,11.085,0.933,14.412,0.366,0.136,1.081,30.793,1188.085,35091000,295.1,804.918,67.749,24.866,26.587,15.624,78.459,2235.886,0,,0,0,0,0,0,2.51E+11,0,,0,0,0,0,0
COL,Colombia,1994,4.384,7.64,3.158,1.231,0.371,1.035,7.366,21.737,,,,0,0,0,0,,,14.461,14.805,5.926,46.909,,1311.798,181.88,5086.271,45.024,,,,,32.058,0,,0.444,,32.502,0,0,1.205,8860.351,4.575,71.504,9.912,226.553,6335.546,,,,-1.066,12.308,-0.42,38.997,,1090.538,40.205,1124.319,71.202,15.085,28.106,11.672,89.051,896.513,2490.315,72.189,32.502,908.929,15.071,28.496,11.825,90.284,2524.805,0,,0,0,0,0,0,,3.234,44.391,4.406,140.648,,3933.211,280.071,7832.176,12.416,0.986,14.139,0.389,0.153,1.233,34.49,1259.104,35759000,316.837,908.929,72.189,15.071,28.496,11.825,90.284,2524.805,0,,0,0,0,0,0,2.63E+11,0,,0,0,0,0,0
COL,Colombia,1995,13.567,24.676,4.837,1.945,28.584,80.055,1.552,4.917,,,,0,0,0,0,,,-10.513,13.046,-4.932,41.977,,1152.548,206.556,5671.342,47.483,,,,,31.989,0,,0.477,,32.466,0,0,1.17,8834.301,2.214,71.971,5.017,231.57,6358.133,,,,6.349,12.89,2.476,41.473,,1138.698,42.149,1157.273,67.37,-0.215,27.617,-0.192,88.86,878.323,2439.788,68.374,32.466,891.42,-0.111,28.029,-0.1,90.185,2476.168,0,,0,0,0,0,0,,5.313,46.035,7.472,148.12,,4066.887,360.126,9887.858,13.097,1.005,7.432,0.412,0.092,1.325,36.38,1303.739,36421000,321.754,891.42,68.374,-0.111,28.029,-0.1,90.185,2476.168,0,,0,0,0,0,0,2.75E+11,0,,0,0,0,0,0
COL,Colombia,1996,14.856,30.686,7.876,3.32,7.561,27.228,2.566,8.255,,,,0,0,0,0,,,-22.479,9.861,-9.436,32.541,,877.685,237.242,6398.814,48.371,,,,,35.288,0,,0.496,,35.784,0,0,1.2,8900.877,-0.414,69.88,-0.96,230.61,6219.923,,,,8.753,13.667,3.63,45.103,,1216.495,45.469,1226.36,72.952,10.31,29.703,9.162,98.021,951.765,2643.793,73.977,35.784,965.143,10.217,30.12,9.215,99.399,2680.954,0,,0,0,0,0,0,,3.272,46.352,4.846,152.966,,4125.743,387.354,10447.56,13.378,1.025,3.983,0.417,0.053,1.378,37.161,1304.648,37076000,330.009,965.143,73.977,10.217,30.12,9.215,99.399,2680.954,0,,0,0,0,0,0,2.75E+11,0,,0,0,0,0,0
COL,Colombia,1997,10.75,25.503,24.79,11.272,4.428,17.151,2.924,9.65,,,,0,0,0,0,,,18.437,11.347,6,38.541,,1021.647,262.745,6964.928,49.906,,,,,31.476,0,,0.483,,31.959,0,0,1.213,9003.793,8.792,73.864,20.275,250.885,6650.532,,,,25.802,16.705,11.637,56.74,,1504.083,56.74,1504.083,63.07,-10.802,25.741,-10.589,87.433,834.37,2317.695,64.037,31.959,847.173,-10.689,26.136,-10.625,88.774,2353.261,0,,0,0,0,0,0,,1.725,45.812,2.638,155.604,,4124.801,404.505,10722.743,12.804,0.968,-2.621,0.395,-0.036,1.342,35.565,1322.933,37724000,339.659,847.173,64.037,-10.689,26.136,-10.625,88.774,2353.261,0,,0,0,0,0,0,2.80E+11,0,,0,0,0,0,0
COL,Colombia,1998,2.501,6.572,14.373,8.156,15.992,64.687,0.583,1.979,,,,0,0,0,0,,,-4.898,10.729,-1.888,36.653,,955.401,269.317,7020.049,50.283,,,,,30.782,0,,0.532,,31.314,0,0,1.251,8905.17,1.503,74.54,3.771,254.655,6637.874,,,,16.12,19.285,9.146,65.886,,1717.399,64.896,1691.574,61.217,-2.205,25.028,-1.928,85.505,802.359,2228.776,62.275,31.314,816.226,-2.018,25.46,-1.792,86.983,2267.296,0,,0,0,0,0,0,,-2.242,44.526,-3.488,152.116,,3965.074,469.192,12230.011,13.867,1.058,10.145,0.433,0.136,1.478,38.52,1310.686,38364000,341.638,816.226,62.275,-2.018,25.46,-1.792,86.983,2267.296,0,,0,0,0,0,0,2.73E+11,0,,0,0,0,0,0
COL,Colombia,1999,-2.405,-6.476,-12.276,-7.967,8.159,38.282,-7.503,-25.633,,,,0,0,0,0,,,-20.137,9.263,-7.381,29.272,,750.585,262.841,6739.692,47.775,,,,,33.701,0,,0.457,,34.158,0,0,1.22,8102.903,-13.168,69.974,-33.533,221.123,5669.957,,,,-13.625,18.009,-8.977,56.909,,1459.244,56.929,1459.757,70.541,9.483,29.624,8.108,93.613,864.142,2400.395,71.497,34.158,875.86,9.082,30.026,7.9,94.882,2432.946,0,,0,0,0,0,0,,-11.29,42.702,-17.175,134.942,,3460.128,507.474,13012.481,11.718,0.957,-14.098,0.402,-0.208,1.269,32.551,1225.024,38999000,316.005,875.86,71.497,9.082,30.026,7.9,94.882,2432.946,0,,0,0,0,0,0,2.59E+11,0,,0,0,0,0,0
