Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","44","Colombia","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","280.0626","FC","Calculated data"
"LC","Land Cover","44","Colombia","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","281.718","FC","Calculated data"
"LC","Land Cover","44","Colombia","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","282.4623","FC","Calculated data"
"LC","Land Cover","44","Colombia","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2018","2018","1000 ha","283.6099","FC","Calculated data"
"LC","Land Cover","44","Colombia","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2019","2019","1000 ha","284.7077","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","396.1955","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","396.7751","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","396.9254","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","397.4405","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","397.8913","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","398.1918","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","366.1004","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","399.5013","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","400.4028","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","400.8107","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","402.0342","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","403.0002","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","403.9662","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","404.5457","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","405.1897","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","405.7264","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","406.4777","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2018","2018","1000 ha","407.508","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2019","2019","1000 ha","408.5384","FC","Calculated data"
"LC","Land Cover","44","Colombia","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2020","2020","1000 ha","409.5902","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1992","1992","1000 ha","127.173","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1993","1993","1000 ha","129.6783","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1994","1994","1000 ha","131.8988","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1995","1995","1000 ha","134.0437","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1996","1996","1000 ha","136.2236","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1997","1997","1000 ha","138.3278","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1998","1998","1000 ha","140.6587","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1999","1999","1000 ha","143.3791","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2000","2000","1000 ha","146.8901","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","148.1631","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","149.3082","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","150.1685","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","152.296","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","153.7027","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","157.1672","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","160.6549","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","163.631","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","166.5781","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","169.5252","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","172.7455","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","176.2739","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","182.3193","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","188.3878","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","192.079","FC","Calculated data"
"LC","Land Cover","44","Colombia","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","192.3289","FC","Calculated data"
