Cod_depto,,5,8,11,13,15,17,18,19,20,27,23,25,41,44,47,50,52,54,63,66,68,70,73,76,*
Year,COLOMBIA,Antioquia,Atlántico,Bogotá D.C.,Bolívar,Boyacá,Caldas,Caquetá,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindío,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Nuevos departamentos
1980,"2,072",343,87,494,56,62,43,9,35,31,7,38,113,34,12,28,32,27,38,38,39,96,15,56,289,49
1981,"2,601",438,108,643,65,79,53,11,40,40,9,46,133,42,16,35,42,34,48,35,45,128,19,71,356,63
1982,"3,289",536,139,819,79,95,66,14,53,47,11,58,183,56,22,44,55,46,60,46,59,168,25,82,438,89
1983,"4,032",640,182,"1,002",107,115,87,19,67,57,13,74,219,70,31,52,66,58,72,50,74,198,31,100,538,111
1984,"5,075",841,222,"1,257",134,135,106,24,81,70,17,97,282,100,41,63,83,71,87,61,89,248,37,127,670,133
1985,"6,529","1,078",274,"1,580",176,171,135,30,101,96,24,110,364,135,67,85,114,94,128,80,122,317,49,163,856,181
1986,"8,847","1,520",363,"2,064",233,221,191,43,140,130,34,143,489,163,93,112,159,127,177,115,170,440,66,230,"1,141",284
1987,"11,467","1,909",452,"2,740",323,292,247,57,176,168,47,189,607,222,126,139,222,163,200,138,210,592,81,294,"1,394",477
1988,"15,392","2,666",624,"3,670",404,391,311,76,238,224,67,254,861,291,166,196,313,218,271,180,288,734,109,392,"1,884",564
1989,"19,876","3,357",843,"4,682",518,518,402,100,317,273,96,320,"1,086",377,263,244,439,286,344,204,377,962,140,505,"2,402",822
1990,"26,371","4,513","1,125","6,128",699,679,529,134,417,358,133,405,"1,369",538,399,328,580,366,448,263,470,"1,262",176,658,"3,073","1,321"
1991,"34,170","5,700","1,486","8,039",966,890,734,181,535,478,142,544,"1,807",679,499,430,769,492,564,381,628,"1,561",208,882,"4,023","1,552"
1992,"44,200","7,170","1,996","10,755","1,358","1,130",901,232,710,599,174,732,"2,306",863,566,584,973,643,729,455,787,"2,047",298,"1,141","5,222","1,828"
