Cod_Depto,,05,08,11,13,15,17,18,19,20,27,23,25,41,44,47,50,52,54,63,66,68,70,73,76,*
Year,COLOMBIA,Antioquia,Atlántico,Bogotá D.C.,Bolívar,Boyacá,Caldas,Caquetá,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindío,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Nuevos departamentos
1980,55,12,3,10,4,2,1,0,1,1,0,1,3,1,1,1,1,1,1,1,1,3,0,1,7,1
1981,75,18,2,14,1,3,2,0,1,1,0,1,4,1,1,1,1,1,1,1,1,5,1,1,10,1
1982,93,21,3,19,1,3,2,1,2,1,1,1,8,1,1,1,2,1,2,1,2,6,1,2,9,2
1983,125,27,6,26,4,4,3,1,2,1,1,2,6,2,1,1,2,2,3,1,3,5,2,3,14,3
1984,165,36,7,29,3,5,3,1,4,1,1,2,14,9,2,1,3,2,3,2,3,6,2,3,20,5
1985,265,44,9,53,5,8,3,2,5,7,1,4,22,14,3,6,3,4,14,3,6,7,4,5,22,12
1986,351,68,9,75,6,8,5,2,5,10,1,5,29,12,4,7,5,5,20,4,6,11,6,6,25,18
1987,388,79,13,101,11,9,7,2,5,4,1,5,36,9,4,3,8,5,7,3,8,17,2,9,23,16
1988,624,159,11,159,11,15,7,3,9,9,2,9,51,10,7,8,11,8,17,6,11,28,4,11,35,24
1989,731,80,21,231,17,19,14,4,9,10,5,10,50,12,9,5,28,7,14,7,20,42,7,19,54,36
1990,823,161,23,280,16,20,17,5,8,11,2,11,44,12,10,12,12,9,16,7,16,35,2,18,65,12
1991,"1,097",154,37,405,17,21,21,6,11,10,4,16,59,30,13,9,18,13,15,20,31,49,4,34,81,19
1992,"1,537",207,53,606,26,27,29,9,26,10,4,22,94,28,18,15,23,20,20,21,35,53,5,48,113,27
1993,"2,485",361,120,791,59,83,50,15,43,31,5,38,122,53,32,37,32,31,33,33,60,119,14,64,205,49
1994,"3,387",521,133,"1,237",69,59,55,17,31,38,9,44,135,58,36,42,40,49,42,72,84,178,28,83,272,54
1995,"4,335",676,196,"1,615",91,80,68,19,46,56,13,55,136,84,46,59,59,58,72,56,107,173,28,96,380,67
1996,"4,891",626,205,"1,478",69,100,78,19,49,73,13,69,190,160,58,62,88,62,73,50,126,310,42,170,634,88
1997,"5,782","1,050",307,"1,526",164,141,134,26,41,99,10,81,230,137,68,63,80,67,91,64,145,374,50,185,548,99
1998,"6,058",838,234,"2,067",233,151,113,18,72,70,13,84,144,130,70,99,77,98,102,51,105,370,52,218,551,98
1999,"5,120",766,196,"1,251",365,140,116,23,59,78,13,69,136,99,58,50,54,76,70,66,83,618,44,166,428,94
2000,"5,242",819,160,"1,576",124,129,90,24,54,51,6,71,333,128,59,62,100,63,46,101,92,534,56,112,373,81
2001,"5,679",769,135,"1,498",191,138,91,24,63,81,21,79,470,230,60,53,104,104,70,159,76,528,80,115,449,92
