Cod_depto,,05,08,11,13,15,17,18,19,20,27,23,25,41,44,47,50,52,54,63,66,68,70,73,76,*
Year,COLOMBIA,Antioquia,Atlántico,Bogotá D.C.,Bolívar,Boyacá,Caldas,Caquetá,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindío,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Nuevos departamentos
1980,301,34,4,0,8,15,11,4,8,13,2,13,28,10,3,8,10,10,8,7,8,17,6,19,27,29
1981,372,45,5,0,10,18,12,4,10,17,2,16,34,11,3,11,12,13,9,8,9,20,7,25,33,37
1982,459,60,6,0,12,23,14,6,12,20,3,19,45,14,4,14,13,16,11,10,11,25,8,27,38,47
1983,563,76,7,0,15,26,20,8,14,23,4,22,54,17,5,17,16,20,14,12,13,31,9,34,47,56
1984,661,89,9,0,17,30,21,11,16,29,6,26,65,20,6,21,19,25,17,13,15,36,11,40,54,63
1985,831,108,11,0,22,36,28,13,21,38,8,33,81,26,9,25,26,31,22,18,18,45,13,47,70,80
1986,"1,178",167,15,0,29,51,41,20,32,51,10,41,114,34,12,34,36,44,34,30,27,66,17,66,101,106
1987,"1,567",218,20,0,42,63,60,28,41,72,14,57,143,46,17,48,54,59,43,43,38,84,25,88,123,142
1988,"1,927",263,24,1,51,74,66,39,51,94,18,69,187,61,20,63,75,74,50,51,45,98,29,108,146,170
1989,"2,363",318,28,1,59,90,79,52,65,104,28,85,232,74,26,82,91,99,61,52,49,112,34,129,193,220
1990,"3,156",461,35,1,81,112,105,75,99,142,44,103,305,103,33,110,122,122,84,76,65,143,40,184,251,260
1991,"4,221",636,45,1,118,149,164,101,131,191,36,144,415,147,42,154,168,164,108,106,86,179,51,246,320,319
1992,"4,870",704,55,1,176,169,159,121,163,217,44,191,506,157,48,194,189,184,115,114,91,214,74,279,353,352
1993,"5,574",834,65,2,173,213,189,152,178,228,44,225,615,192,59,227,232,218,137,91,96,217,79,326,403,379
1994,"7,172","1,078",75,2,222,290,287,186,203,291,75,280,765,262,74,307,328,305,167,143,114,279,96,445,473,428
1995,"8,351","1,129",91,3,276,322,344,187,238,356,91,329,946,277,92,348,344,304,190,217,127,366,116,511,649,499
1996,"9,301","1,325",109,3,291,398,318,196,245,376,103,355,"1,109",272,94,396,422,362,211,196,118,471,121,557,757,496
1997,"11,089","1,362",122,4,296,471,402,217,309,392,124,415,"1,336",301,125,450,489,393,244,321,195,537,150,725,"1,124",586
1998,"13,410","1,582",182,4,449,556,455,256,362,484,157,578,"1,597",323,133,531,530,489,328,385,311,674,212,848,"1,365",621
1999,"14,345","1,845",226,5,444,588,426,167,452,506,149,651,"1,729",337,132,563,552,500,449,383,289,730,217,887,"1,511",607
2000,"16,175","2,137",245,6,525,679,467,195,541,578,150,758,"2,021",489,134,618,621,541,441,296,256,840,214,863,"1,659",901
2001,"17,923","2,269",285,7,620,704,575,229,686,590,147,803,"2,362",514,153,752,768,527,452,326,279,988,244,954,"1,790",899
