Cod_depto,,05,08,11,13,15,17,18,19,20,27,23,25,41,44,47,50,52,54,63,66,68,70,73,76,*
Year,COLOMBIA,Antioquia,Atlántico,Bogotá D.C.,Bolívar,Boyacá,Caldas,Caquetá,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindío,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Nuevos departamentos
1980,410,117,21,67,7,8,6,1,7,3,0,8,27,2,0,3,2,2,5,14,9,9,2,8,81,1
1981,455,134,25,79,8,10,7,1,6,4,0,9,29,2,0,3,3,2,6,8,9,11,3,10,86,1
1982,564,159,32,97,9,11,9,1,7,4,0,12,41,3,0,3,3,2,6,11,11,15,3,11,112,2
1983,676,181,42,121,13,15,11,1,10,5,0,17,50,4,1,4,4,2,6,8,14,17,4,11,133,2
1984,901,256,53,157,17,16,16,1,10,6,1,28,63,6,1,4,6,3,7,11,17,23,4,17,176,2
1985,"1,100",312,63,186,21,19,18,1,11,8,1,25,78,6,1,5,8,5,9,14,24,28,6,24,224,3
1986,"1,550",431,89,256,29,24,28,2,16,11,1,33,107,9,1,7,13,7,13,20,38,46,8,39,316,4
1987,"1,718",484,96,301,36,30,30,2,16,12,1,35,118,8,1,7,14,7,13,17,35,59,9,39,345,4
1988,"2,443",680,139,422,49,47,42,2,23,18,2,48,190,10,2,10,24,11,21,22,51,73,12,59,480,5
1989,"3,112",931,198,512,61,61,50,3,34,25,2,51,237,11,2,12,32,13,28,19,62,94,16,73,578,6
1990,"3,922","1,163",275,667,80,74,65,4,43,29,2,52,313,12,3,15,34,16,32,20,82,121,21,85,706,8
1991,"5,269","1,521",377,882,105,125,94,6,55,43,3,75,422,19,4,20,49,24,44,32,110,159,29,118,942,11
1992,"6,355","1,838",472,"1,062",127,155,120,7,57,50,4,89,507,22,6,22,58,30,52,35,127,192,35,141,"1,133",13
1993,"8,720","2,502",697,"1,507",139,235,190,11,78,69,5,158,748,33,9,33,69,47,74,51,185,253,45,187,"1,377",18
1994,"11,432","3,120",620,"2,664",221,167,188,9,111,102,6,188,979,50,5,42,97,52,77,42,193,334,61,211,"1,872",21
1995,"13,931","3,835",751,"3,111",280,215,213,13,134,96,7,239,"1,163",62,8,61,129,66,93,56,242,440,71,273,"2,342",32
1996,"16,479","4,446",897,"3,618",322,262,250,18,183,131,8,301,"1,450",87,11,87,162,88,124,62,322,539,92,331,"2,645",42
1997,"19,277","5,012","1,074","4,354",374,327,301,24,214,138,9,391,"1,692",123,15,117,193,106,166,76,359,604,102,465,"2,970",70
1998,"22,735","5,916","1,226","5,015",552,386,372,36,262,138,12,446,"2,007",153,25,142,233,130,203,95,455,728,115,513,"3,496",81
1999,"25,331","6,290","1,308","5,394",580,399,413,44,357,184,11,673,"2,266",187,30,166,311,169,246,110,529,885,126,525,"3,976",153
2000,"31,113","7,944","1,529","6,493",857,555,575,56,504,155,13,648,"2,758",209,42,174,324,212,293,138,610,"1,206",156,650,"4,798",213
