DEPARTAMENTO,FORMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,COD_DPTO,COUNT,latitude,longitude
AMAZONAS,AMA,"2851,1","285,11","285,11","285,11","285,11","285,11","285,11","285,11","285,11","285,11","285,11","4571,4","4571,4","4571,4","4571,4","4571,4","4927,6","4927,6","4927,6","4927,6","4927,6",4190,4190,1042,1723,1277,1913,1362,782,1139,2669,91,998,-1.482670, -71.498750
ANTIOQUIA,ANT,"14629,6","1462,96","1462,96","1462,96","1462,96","1462,96","1462,96","1462,96","1462,96","1462,96","1462,96","15970,8","15970,8","15970,8","15970,8","15970,8",32157,32157,32157,32157,32157,8773,8773,13736,21032,15888,20494,20592,12820,11601,12645,05,760,6.859042, -75.483159
ARAUCA,ARA,"7612,1","761,21","761,21","761,21","761,21","761,21","761,21","761,21","761,21","761,21","761,21","6277,4","6277,4","6277,4","6277,4","6277,4",1981,1981,1981,1981,1981,4707,4707,3119,3913,2395,3907,3214,4204,3452,2175,81,571,7.059299945227999,-70.69869995169825
ATLANTICO,ATL,"1216,9","121,69","121,69","121,69","121,69","121,69","121,69","121,69","121,69","121,69","121,69","1043,8","1043,8","1043,8","1043,8","1043,8","517,8","517,8","517,8","517,8","517,8","30,5","30,5",62,55,40,72,50,0,18,26,08,810,10.36120033256952,-74.87059783939971
SANTAFE DE BOGOTA D.C,BO,"49,2","4,92","4,92","4,92","4,92","4,92","4,92","4,92","4,92","4,92","4,92","58,8","58,8","58,8","58,8","58,8","28,4","28,4","28,4","28,4","28,4","10,5","10,5",1,0,2,1,28,11,0,0,11,843,4.795100212097175,-74.02290344238281
BOLIVAR,BOL,"9033,3","903,33","903,33","903,33","903,33","903,33","903,33","903,33","903,33","903,33","903,33",13457,13457,13457,13457,13457,"11540,4","11540,4","11540,4","11540,4","11540,4","4529,5","4529,5",1803,4860,4566,5557,3561,2821,3074,3742,13,1826,10.423600197450686,-75.15950012242125
BOYACA,BOY,"4737,9","473,79","473,79","473,79","473,79","473,79","473,79","473,79","473,79","473,79","473,79","8431,8","8431,8","8431,8","8431,8","8431,8","5734,8","5734,8","5734,8","5734,8","5734,8",1846,1846,362,511,347,704,854,496,350,343,15,1492,7.027500152342927,-72.21299743717749
CALDAS,CAL,"447,4","44,74","44,74","44,74","44,74","44,74","44,74","44,74","44,74","44,74","44,74",2337,2337,2337,2337,2337,"3704,4","3704,4","3704,4","3704,4","3704,4","483,5","483,5",123,874,178,472,499,305,309,212,17,1497,5.752699852090696,-74.69499969487994
CAQUETA,CAQ,"30607,4","3060,74","3060,74","3060,74","3060,74","3060,74","3060,74","3060,74","3060,74","3060,74","3060,74","35707,4","35707,4","35707,4","35707,4","35707,4","33390,6","33390,6","33390,6","33390,6","33390,6","36097,5","36097,5",29844,29245,23812,26544,60373,46765,30317,32522,18,1221,2.497800111869246,-74.69259643650261
CASANARE,CAS,"5188,9","518,89","518,89","518,89","518,89","518,89","518,89","518,89","518,89","518,89","518,89","7111,4","7111,4","7111,4","7111,4","7111,4","5507,2","5507,2","5507,2","5507,2","5507,2",2662,2662,1807,3450,2939,1759,2178,1979,1628,1370,85,1084,6.247900008569654,-70.17250061003931
CAUCA,CAU,"1507,5","150,75","150,75","150,75","150,75","150,75","150,75","150,75","150,75","150,75","150,75","7040,4","7040,4","7040,4","7040,4","7040,4",10484,10484,10484,10484,10484,"3057,5","3057,5",1470,1707,3031,2889,2107,1285,1793,3048,19,1614,2.975113868815045,-78.21162414518196
CESAR,CES,"2362,4","236,24","236,24","236,24","236,24","236,24","236,24","236,24","236,24","236,24","236,24","2825,8","2825,8","2825,8","2825,8","2825,8","2724,2","2724,2","2724,2","2724,2","2724,2",638,638,1110,786,448,1576,378,353,444,324,20,1835,10.856246948843255,-73.28231811548066
CHOCO,CHO,"5683,7","568,37","568,37","568,37","568,37","568,37","568,37","568,37","568,37","568,37","568,37","11368,2","11368,2","11368,2","11368,2","11368,2","20971,4","20971,4","20971,4","20971,4","20971,4",3350,3350,2874,10353,5813,24025,10046,4946,11457,8485,27,633,8.271699905727692,-77.02130126877334
