0,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,COD_DPTO,DEPARTAMENTO,COUNT,latitude,longitude
COLOMBIA,2072,2601,3289,4032,5075,6529,8847,11467,15392,19876,26371,34170,44200,58932,77147,96403,117184,141383,163598,177038,200762,219063,237506,268144,302515,337958,381604,428506,476554,501574,544060,619023,666507,714093,762903,804692,863782,920471,987791,1060068,998719,,,,,
ANTIOQUIA,343,438,536,640,841,1078,1520,1909,2666,3357,4513,5700,7170,9485,12214,15227,18100,21935,24722,26639,30615,33434,36336,40637,46292,51007,57285,64514,68425,71309,75982,85578,92318,98573,106819,115446,126022,132369,141680,153558,148387,05,ANTIOQUIA,760,8.619299889,-76.30729675
ATLANTICO,87,108,139,182,222,274,363,452,624,843,1125,1486,1996,2777,3351,4169,4954,6122,6957,7365,8296,8884,9518,10869,12066,13507,15432,18052,19527,20809,21443,23549,26445,29112,32383,35716,38575,40875,43369,46575,44588,08,ATLANTICO,810,10.36120033,-74.87059784
SANTAFE DE BOGOTA D.C,494,643,819,1002,1257,1580,2064,2740,3670,4682,6128,8039,10755,15133,21797,27023,33118,40410,47482,47738,53130,58742,64525,71559,80212,89832,100462,112441,122101,130672,139740,152691,164542,177361,191026,206478,221456,236786,253941,273524,260207,11,SANTAFE DE BOGOTA D.C,843,4.795100212,-74.02290344
BOLIVAR,56,65,79,107,134,176,233,323,404,518,699,966,1358,1724,2151,2660,3233,3758,4545,5021,5635,6378,6918,8900,10282,11169,12845,14688,16048,16432,18363,21489,23078,25859,26623,28105,30918,33394,35410,38285,34634,13,BOLIVAR,1826,10.4236002,-75.15950012
BOYACA,62,79,95,115,135,171,221,292,391,518,679,890,1130,1702,1930,2377,2676,3238,3707,4167,4831,5337,5830,6578,7231,8226,9215,10951,12771,13261,14475,17260,18314,19380,20839,22165,23671,24782,26884,28574,26484,15,BOYACA,1492,7.027500152,-72.21299744
CALDAS,43,53,66,87,106,135,191,247,311,402,529,734,901,1245,1724,2035,2203,2697,3077,3084,3525,3995,4457,4863,5308,6015,6888,7609,8181,8364,8822,9343,9748,10498,11519,12514,13798,14749,15711,17012,16860,17,CALDAS,1497,5.752699852,-74.69499969
CAQUETA,9,11,14,19,24,30,43,57,76,100,134,181,232,300,375,428,482,592,676,642,741,837,840,1058,1137,1254,1365,1560,1746,1904,1972,2166,2554,2836,3175,3350,3666,3866,4072,4313,4160,18,CAQUETA,1221,2.497800112,-74.69259644
CAUCA,35,40,53,67,81,101,140,176,238,317,417,535,710,927,1048,1305,1553,1836,2216,2557,3019,3376,3660,3953,4475,5059,5722,6282,7086,7646,8503,9290,10373,11624,13086,14622,16070,16739,17479,18755,18192,19,CAUCA,1614,2.975113869,-78.21162415
CESAR,31,40,47,57,70,96,130,168,224,273,358,478,599,787,1051,1375,1678,1923,2216,2435,2622,3141,3524,4408,5559,6462,7403,7971,9789,10335,10891,13247,13975,13383,13654,14570,16992,19551,21263,20725,17555,20,CESAR,1835,10.85624695,-73.28231812
CHOCO,7,9,11,13,17,24,34,47,67,96,133,142,174,193,254,327,368,429,516,562,606,651,656,862,1094,1232,1374,1490,1672,2104,2903,3652,3555,3080,3145,3571,4222,3958,3777,4168,4425,27,CHOCO,633,8.271699906,-77.02130127
CORDOBA,38,46,58,74,97,110,143,189,254,320,405,544,732,972,1230,1563,1915,2351,2847,3360,3653,3954,4204,4911,5584,6023,6803,8193,8202,8473,9011,9758,10779,11697,12913,13657,14662,15793,16800,18279,17922,23,CORDOBA,1111,9.423000336,-75.81950378
CUNDINAMARCA,113,133,183,219,282,364,489,607,861,1086,1369,1807,2306,3110,3966,4968,6185,7559,8726,9454,11123,12937,14017,16134,17452,19546,21387,24214,27379,29327,31676,35465,38214,40742,43759,48055,53516,55731,59085,63112,61266,25,CUNDINAMARCA,574,5.748899937,-74.32959747
HUILA,34,42,56,70,100,135,163,222,291,377,538,679,863,1087,1385,1666,2018,2351,2584,3005,3691,3759,4148,4751,5678,6076,6577,7187,8491,8587,9562,11263,11690,12414,13383,13805,14693,15222,15989,17198,16620,41,HUILA,705,3.273900033,-74.63600159
LA GUAJIRA,12,16,22,31,41,67,93,126,166,263,399,499,566,674,798,831,1072,1290,1403,1463,1641,2156,1978,2598,3376,4199,4759,4961,6488,6792,6931,8080,8473,8188,8361,8666,9442,10785,11882,11225,8435,44,LA GUAJIRA,1765,11.461323,-72.594497
