Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Forest area (% of land area),AG.LND.FRST.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.5472194682289,58.3468913925192,58.1465633168094,57.9462352410996,57.7459071653898,57.54557908968,57.3452510139703,57.1449229382605,56.9445948625507,56.7442667868409,56.5439387111311,56.3701928796755,56.1964470482199,56.0227012167643,55.8489553853087,55.6752095538531,55.5014637223975,55.3277178909419,55.1539720594863,54.9802262280306,54.806480396575,54.6851410545291,54.5638017124831,54.4424623704371,54.3211230283912,54.1997836863452,54.0419017575485,53.8438666065795,53.6642451554754,53.4846327174403,53.3050112663362,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.944368543419381,..,1.45172663090531,..,..,..,..,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Colombia,COL,..,36.0252365930599,36.9283461018477,37.3979269941415,37.8503830554304,38.7634069400631,38.7742226228031,38.7769265434881,38.7787291572781,38.783235691753,38.783235691753,40.6074808472285,40.6200991437584,40.6345200540784,40.6480396575034,40.6624605678233,40.6759801712483,40.8427219468229,40.794051374493,40.808472284813,40.8219918882379,40.8364127985579,40.8499324019829,40.8643533123028,40.8796755295178,40.8968003605228,40.9148264984227,40.9202343397927,40.813880126183,40.7237494366832,40.6336187471834,40.4542586750789,40.5434880576836,40.4713835060838,40.4371338440739,40.1198738170347,40.4867057232988,40.6327174402884,41.0482199188824,41.1608832807571,40.4317260027039,37.6250563316809,37.5006759801713,37.9008562415502,38.2073005858495,38.3569175304191,38.011716989635,38.2478593961244,38.408292023434,38.3415953132041,38.3082469580892,37.603424966201,38.411536728256,40.392609283461,40.3647589004056,40.3369986480397,40.3091482649842,44.6137899954935,44.6074808472285,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Colombia,COL,..,399700,409720,414930,419950,430080,430200,430230,430250,430300,430300,450540,450680,450840,450990,451150,451300,453150,452610,452770,452920,453080,453230,453390,453560,453750,453950,454010,452830,451830,450830,448840,449830,449030,448650,445130,449200,450820,455430,456680,448590,417450,416070,420510,423910,425570,421740,424360,426140,425400,425030,417210,426176,448156,447847,447539,447230,494990,494920,..,..,..
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,74.715155264238,77.6629505201394,76.9118483361828,78.5352225910242,78.260990716936,77.560761077314,76.613760625376,78.3998228101046,76.9711095182641,76.1845003547163,75.8127545186256,76.2470664801746,75.8039989610462,74.6983595670107,75.1087317105813,74.186271741257,73.1049534384392,71.6989877442436,73.1507099166276,73.4443889817438,73.0366492146597,72.2832722832723,72.0185058259082,71.7961654894046,71.5959729328272,71.1311475409836,70.8683021304067,70.0404858299595,69.68,68.3066361556064,68.0264430828765,67.6855207184497,66.9731920199501,66.7072613792054,66.3028853341307,65.9795343318997,64.8914319248826,64.5427392973972,63.7228831350595,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41850,41440,42030,42690,43380,43390,43910,43250,43550,41790,42190,42960,42970,43820,44350,44490,44230,45380,45530,45290,46280,43100,40340,39700,39070,38880,39460,41960,43990,..,..,..
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,77.764398359246,80.9565900983898,79.6703326653307,81.5851590649932,82.0684643593584,81.1216003920816,80.0894939608497,82.3975278148357,80.8889259826188,80.1680902192908,79.650631893462,80.6595505895121,78.9483663355425,79.9573761942833,81.6074753510174,80.9658933202995,80.8409179281012,79.450685794679,80.9138505767686,81.2947526082846,90.8533184606804,90.574456218628,90.2901785714286,90.1917808219178,90.0755124056095,89.902807775378,89.5947426067908,89.4362342638205,89.4142933906502,88.8641425389755,88.9430894308943,89.0765171503958,89.038961038961,89.2678034102307,89.197224975223,89.55296404276,89.3111638954869,89.5833333333333,88.7304507819687,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16290,16240,16180,16460,16700,16650,16360,16340,16640,15960,16410,16880,17140,17800,18000,18430,18800,20210,19290,19400,19810,19050,18590,17120,17670,17140,17230,18410,19030,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48860,50580,53210,55780,56430,59060,58850,63590,64090,55870,58220,58560,56430,56020,56220,57910,57720,59190,60000,62960,64680,69910,70290,77790,79820,81030,83760,76060,79490,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.47601837186715,1.4982969535695,1.54578821661417,1.58956905295425,1.5780652344147,1.62157243763961,1.58726361336125,1.68567310141027,1.67056321387481,1.43258364447433,1.46909037138943,1.45469157408658,1.38053819852315,1.35040432098527,1.33615511929106,1.35786825329582,1.33608324511565,1.35330057182951,1.35577986581937,1.40692567655896,1.4302551910933,1.53100732200803,1.52553228629889,1.67306542320275,1.69946558599221,1.7051528338186,1.7386593989486,1.55510616635784,1.6006506184645,..,..,..
CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,Colombia,COL,4.20111731843575,3.90499194847021,5.52621652206714,6.14110746938071,6.36824324324324,7.45072904983176,8.61288812607271,8.53115727002967,8.18745692625775,8.65472610798797,9.56622773044152,9.93954050785973,11.2405358182877,10.9466811751904,9.79091274628066,10.0316681989989,9.72369307788582,10.6876630637346,13.3720418756048,13.4521746306842,15.583664021164,16.6199274166942,16.8357159971248,17.1449758991472,17.4066032791795,15.2050329720306,14.0552651232263,14.2431725740848,14.3756118025451,13.2809809189226,17.1491915677446,17.2040154211151,15.7334354444653,15.5081624238078,15.9208754208754,14.057040298002,17.4034511469839,19.6007752791319,20.334713683882,20.0644693037408,21.4653658536585,22.6620099043716,23.4914141414141,22.6552784719743,23.7617947349698,24.2081523053013,24.3323111573112,23.7280114884271,29.2198783333333,31.9464660101652,34.0223670377242,30.1343370047204,32.6059894721866,29.7263170073274,28.4190202956652,28.5331790694804,26.1584586914995,..,..,..,..,..
