Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Amazonas,1194.9104170958276,1103.333792413737,916.0900900708245,1053.3446829873478,1178.8006678649424,1098.5643498535874,705.1152601289637,1492.6509859295775,1170.9827566530234,2013.8130300360704,1344.8910513686,1880.1388121880748,1573.5511510139734,2648.7870625582823,1729.7303971176332,3545.850617336307,2785.0927941769114,1690.127781859442,1737.3806455424947,5940.332900386653,1551.035524021499
Antioquia,25237.8074859144,19224.536426480885,14603.29164827845,33967.65559701937,26350.325515444816,28226.46380456055,25726.77236939592,24654.877167519127,28494.717619861534,30739.239053422996,21704.170119470215,32146.852445975226,13051.985583569238,22527.867709436254,15067.228754999423,31028.952828644153,55549.00391635137,31300.586923377163,28830.776426333894,26323.236564627667,23762.74678096273
Arauca,4565.59208581531,3131.402701971053,1749.8717947328335,2807.4021075039736,4527.574349601333,1808.3082568922334,4824.116468009489,4441.278522890913,6447.511727802903,2696.3962684476487,3451.5039914037857,4807.507951347369,2421.4687223882697,3976.6164399228323,3981.377097756444,9114.249940474829,13396.262342768483,8633.990545644388,7556.315350876847,10569.703314936476,7045.48778620699
Atlantico,1267.6129694106878,321.2503779561122,153.61496157836916,1102.7578054978794,469.38510824845866,429.6923145809876,342.7983980270566,2176.9020794793105,1067.68625993042,137.08670206028359,547.1092623207003,663.5086572993499,495.6701886743882,822.1706810775219,445.2027373994716,818.8293539924414,2790.087864031073,1196.946266796516,1240.2451196953268,628.887910382846,775.8194639275284
Bolivar,8888.248922745172,6552.375437704648,5285.0187874878175,7951.395309810934,6880.045410543308,8412.206248948041,8369.72780916437,8163.079586522456,11279.550345077623,8299.221715207064,8163.736826301631,10686.6181754929,8301.267329315664,11060.697854727689,10063.327778980258,27766.524480840584,34509.37956006409,21297.363717059903,17103.96860943378,19596.722804552912,17584.486714095383
Boyaca,2188.7821151762364,1601.4791441429468,1136.4523694792624,3092.9104494482426,1958.6715593385943,2582.857596483202,2570.2156927450496,1619.0185739701337,2175.4010257803884,2194.524646358786,1891.504038657849,2807.014955291963,766.5053880463963,1264.072900495701,597.3978268521897,1209.9804269971182,2815.154066147461,1753.7811805511355,1323.9794674204868,1132.2482484034879,1254.9754513035437
Buenaventura,,,,,,,,,,,,,,,,,,,,,
Caldas,2158.048088430128,1977.6380673797728,931.9794204811245,3198.146219790757,1910.582528132564,2557.726021120893,1694.682254309106,1598.3214727543132,2325.821531182143,1760.474418709286,2833.946094176768,2160.4300921785007,1350.1995878615915,2284.6666370369944,945.6620375905716,2910.3781395945825,5346.595663115259,3186.2493376536177,3038.0830484754615,2540.1241727044076,1759.8751850416959
Caqueta,16518.670948445513,26922.826092799365,10258.98121320054,30635.89024291708,34579.80329233101,13257.468639640278,54706.95557704584,51091.99535360522,27512.13955092714,22092.14311954392,28588.5591930912,25425.86508285937,31647.42076682451,41419.46815368722,23631.856143048426,39021.14282221656,63903.070232465696,70812.61069080209,31412.049041621915,57249.65600376783,44190.516320863746
Casanare,3938.890851422837,3215.395523582165,2900.7700639280556,6330.1522488313085,4623.343213076867,6424.9598807783295,6652.080541007797,6027.965798482666,8198.866893424502,3157.595655960813,4675.960577808909,5520.602754412866,3450.446842227592,5479.280252111003,4908.707172287718,5830.332056956142,8876.351423215094,4627.362485758512,6304.032881239325,7387.262735702888,5697.806615168529
