Year,Urban population,Rural population,Forest area,Agricultural land,Agricultural methane emissions,Agricultural nitrous oxide emissions,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,oil_consumption,other_renewable_consumption,primary_energy_consumption,renewables_consumption,population,Temperature,co2,total_ghg,methane,nitrous_oxide,gdp,Cattle,Pigs,Agricultural methane emissions kT,Agricultural nitrous oxide emissions kT
1990,22999996.0,10102573.0,649581.4,450830.0,41850.0,16290.0,18.582,169.589,37.42,76.377,113.588,0.761,246.728,77.139,33103000.0,23.458000000000027,56.898,217.08,57.47,18.06,253538205696.0,24383504.0,2640000.0,41.85,16.29
1991,23613613.0,10144715.0,647358.76,448840.0,41440.0,16240.0,23.369,178.496,38.583,77.017,116.545,0.747,256.26,77.764,33758000.0,23.648000000000025,56.654,218.85,57.51,18.06,259479420928.0,24350208.0,2642000.0,41.44,16.24
1992,24238651.0,10183917.0,645136.12,449830.0,42030.0,16180.0,39.087,205.202,37.966,61.891,128.149,0.944,268.037,62.835,34423000.0,23.656000000000006,61.495,222.51,58.54,18.05,270671757312.0,24772496.0,2644000.0,42.03,16.18
1993,24870588.0,10220684.0,642913.48,449030.0,42690.0,16460.0,40.982,216.641,39.417,77.379,136.242,1.081,295.1,78.459,35091000.0,23.42900000000003,63.338,226.53,59.64,18.38,286074437632.0,25324000.0,2635000.0,42.69,16.46
1994,25506164.0,10252814.0,640690.84,448650.0,43380.0,16700.0,46.909,226.553,38.997,89.051,140.648,1.233,316.837,90.284,35759000.0,23.434000000000026,66.791,228.62,60.77,18.67,300754567168.0,25634000.0,2600000.0,43.38,16.7
1995,26142216.0,10279222.0,638468.2,445130.0,43390.0,16650.0,41.977,231.57,41.473,88.86,148.12,1.325,321.754,90.185,36421000.0,23.699000000000012,58.775,231.69,61.18,18.65,316298592256.0,25551400.0,2500000.0,43.39,16.65
1996,26777679.0,10298708.0,636245.56,449200.0,43910.0,16360.0,32.541,230.61,45.103,98.021,152.966,1.378,330.009,99.399,37076000.0,23.24200000000002,59.771,232.23,62.14,18.32,322721906688.0,26088000.0,2431000.0,43.91,16.36
1997,27410870.0,10312933.0,634022.92,450820.0,43250.0,16340.0,38.541,250.885,56.74,87.433,155.604,1.342,339.659,88.774,37724000.0,23.79200000000003,64.497,237.26,62.2,18.43,333737754624.0,25672700.0,2480000.0,43.25,16.34
1998,28043541.0,10320766.0,631800.28,455430.0,43550.0,16640.0,36.653,254.655,65.886,85.505,152.116,1.478,341.638,86.983,38364000.0,24.010000000000048,65.158,239.0,62.96,18.77,335547990016.0,25763700.0,2125000.0,43.55,16.64
1999,28676309.0,10323159.0,629577.64,456680.0,41790.0,15960.0,29.272,221.123,56.909,93.613,134.942,1.269,316.005,94.882,38999000.0,23.12900000000002,54.761,228.71,61.46,18.06,321381171200.0,24363000.0,2000000.0,41.79,15.96
2000,29309133.0,10320832.0,627355.0,448590.0,42190.0,16410.0,31.438,220.966,57.358,85.599,132.17,1.378,307.949,86.982,39630000.0,23.326999999999998,56.259,233.07,62.58,18.64,330667819008.0,24363700.0,2228000.0,42.19,16.41
2001,29941978.0,10313978.0,625427.29,417450.0,42960.0,16880.0,30.958,214.327,59.39,87.298,123.978,1.369,303.001,88.674,40256000.0,23.528999999999996,55.939,222.71,63.52,19.01,336149970944.0,24510400.0,2500000.0,42.96,16.88
2002,30573545.0,10301818.0,623499.58,416070.0,42970.0,17140.0,25.461,207.379,59.987,93.138,121.931,1.346,301.876,94.497,40875000.0,23.783000000000015,55.43,221.71,64.18,19.27,344483168256.0,24765300.0,2350000.0,42.97,17.14
2003,31200435.0,10283437.0,621571.87,420510.0,43820.0,17800.0,28.225,212.59,57.5,98.557,126.865,1.349,312.514,99.923,41484000.0,23.786,57.094,223.94,65.81,20.07,357898059776.0,24799260.0,2100000.0,43.82,17.8
2004,31817836.0,10258117.0,619644.16,423910.0,44350.0,18000.0,24.699,212.84,61.348,103.76,126.793,1.264,318.026,105.186,42076000.0,23.833000000000027,54.569,226.33,67.25,20.57,376905891840.0,24921742.0,1892313.0,44.35,18.0
