Name,Herbaceous vegetation,Urban / built up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland,Closed forest,Closed forest 2,Open forest,Open forest 2,Unknown,Shrubs,agriculture,Oceans,Snow and ice,Closed forest 3,Open forest 3,Forest
Amazonas,26177.958363898062,6035.989454118655,1056.1950104267776,1239935.8103852018,15001.269757467824,112687817.97544457,18809.347861467497,1741.0714625003911,3424.382260368068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antioquia,22878577.827588435,555878.7170083793,0.0,503013.1121675619,2638908.263449179,62871220.8160978,5745604.378907242,5651610.30351137,12192616.854125168,124750.3558530689,518713.43465370755,196344.10353592157,122761.83310217595,0.0,0.0,0.0,0.0
Arauca,80966668.93828812,102449.72367925587,50368.374536448886,185987.5155933662,435995.29425264127,21437634.959738445,2678694.3205466373,3212848.250575738,4547636.129952336,173685.24342043075,75007.52442992301,107692.46414113976,0.0,25331.260845538014,0.0,0.0,0.0
Atlantico,38358492.70654829,4236955.9339209255,47064.322776501605,10297070.933413401,9905095.137727289,10461212.621113265,8128416.952914353,1807114.410079558,20973281.938119315,0.0,1384896.8697994542,7187519.458729579,731441.8097620766,0.0,419592.051199596,61844.85389639468,41851462.82732249
Bolivar,30035343.372157246,619481.4967283666,0.0,2287924.7934037643,7690643.453657719,50247496.80695977,4003464.538080339,1372175.329935313,13932038.606605913,0.0,280030.68357136095,1489316.919482798,434459.7367237391,0.0,749662.873682118,857961.3890115597,71162799.54427502
Boyaca,46444957.08876679,347934.3483866881,213770.59283884565,369204.2120711021,147685.4460775451,34609528.563717544,3789176.3788277297,7067161.391899721,5852672.862389752,396266.39937602857,980670.4789455832,13669451.20076228,0.0,111521.03594038487,0.0,0.0,0.0
Buenaventura,0.0,0.0,0.0,0.0,0.0,114000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caldas,19215523.153852165,609575.1585349573,0.0,74338.4339676777,51832.83748805137,60575212.23661258,1741734.931699166,21457686.931625508,10070613.073437782,0.0,0.0,203483.24278211396,0.0,0.0,0.0,0.0,0.0
Caqueta,13799716.570393756,27627.582742026985,12557.99215546681,653232.2790077413,17581.189017653538,91563201.75665016,1340272.6427791207,1205178.1954031345,4767983.988667997,12809.151998576148,597327.0527532866,2511.598431093362,0.0,0.0,0.0,0.0,0.0
Casanare,88241369.34701091,93074.99503511754,0.0,319838.63158755493,668896.991346177,16162514.81352159,477114.16373857553,3587515.754577747,3858612.0914680567,0.0,5031.080812709056,586032.1309015574,0.0,0.0,0.0,0.0,0.0
